Symbol	Company Name	Industry	Market Cap			
AHG	Akso Health Group	Credit Services	10.88M			
AHH	Armada Hoffler Properties	Equity Real Estate Investment Trusts ...	811.40M			
AHI	Advanced Human Imaging	Software-Application	10.48M			
AHPI	Allied Healthcare Products	Health Care Equipment & Supplies	4.97M			
AHRN	Ahren Acquisition	Blank Check / SPAC	304.20M			
AHT	Ashford Hospitality Trust	Equity Real Estate Investment Trusts ...	245.63M			
AI	C3.ai	Software	1.57B			
AIB	AIB Acquisition	Blank Check / SPAC	92.14M			
AIG	American International Group	Insurance	44.87B			
AIH	Aesthetic Medical International Holdings Group	Health Care Providers & Services	44.58M			
AIHS	Senmiao Technology	Consumer Finance	7.08M			
AIKI	AIkido Pharma	Biotechnology	23.86M			
AIM	AIM ImmunoTech	Biotechnology	24.81M			
AIMA	Aimfinity Investment I	Blank Check / SPAC	92.00M			
AIMC	Altra Industrial Motion	Machinery	3.74B			
AIMD	Ainos	Biotechnology	21.43M			
AIN	Albany International	Machinery	3.14B			
AINC	Ashford	Capital Markets	43.02M			
AIP	Arteris	Semiconductors	181.83M			
AIR	AAR Corp.	Aerospace & Defense	1.59B			
AIRC	Apartment Income REIT	Equity Real Estate Investment Trusts ...	5.64B			
AIRG	Airgain	"Electronic Equipment, Instruments & C..."	78.05M			
AIRI	Air Industries Group	Aerospace & Defense	17.63M			
AIRS	AirSculpt Technologies	Medical Care Facilities	182.50M			
AIRT	Air T	Air Freight & Logistics	58.76M			
AIT	Applied Industrial Technologies	Trading Companies & Distributors	4.89B			
AIU	Meta Data	Education & Training Services	16.07M			
AIV	Apartment Investment & Management Company	Equity Real Estate Investment Trusts ...	1.18B			
AIZ	Assurant	Insurance	6.77B			
AJG	Arthur J. Gallagher & Company	Insurance	39.22B			
AJRD	Aerojet Rocketdyne Holdings	Aerospace & Defense	3.95B			
AJX	Great Ajax	Mortgage Real Estate Investment Trust...	198.02M			
AKA	a.k.a. Brands Holding	Internet Retail	235.48M			
AKAM	Akamai Technologies	IT Services	14.68B			
AKAN	Akanda	Drug Manufacturers-Specialty & Generic	7.40M			
AKBA	Akebia Therapeutics	Biotechnology	51.45M			
AKIC	Sports Ventures Acquisition	Blank Check / SPAC	237.31M			
AKLI	Akili	Health Information Services	146.88M			
AKO.A	Embotelladora Andina	Beverages-Non-Alcoholic	1.42B			
