Symbol	Company Name	Industry	Market Cap			
LPTH	LightPath Technologies	"Electronic Equipment, Instruments & C..."	28.15M			
LPTV	Loop Media	Broadcasting	225.52M			
LPTX	Leap Therapeutics	Biotechnology	62.00M			
LPX	Louisiana-Pacific	Paper & Forest Products	4.30B			
LQDA	Liquidia	Pharmaceuticals	317.32M			
LQDT	Liquidity Services	Internet & Direct Marketing Retail	640.17M			
LRCX	Lam Research	Semiconductors & Semiconductor Equipment	68.30B			
LRFC	Logan Ridge Finance	Asset Management	55.03M			
LRMR	Larimar Therapeutics	Biotechnology	133.27M			
LRN	Stride	Diversified Consumer Services	1.46B			
LSAK	Lesaka Technologies	Software-Infrastructure	237.12M			
LSBK	Lake Shore Bancorp	Thrifts & Mortgage Finance	73.97M			
LSCC	Lattice Semiconductor	Semiconductors & Semiconductor Equipment	8.86B			
LSEA	Landsea Homes	Real Estate-Development	219.90M			
LSF	Laird Superfood	Packaged Foods	14.77M			
LSI	Life Storage	Equity Real Estate Investment Trusts ...	9.09B			
LSPD	Lightspeed Commerce	Software	2.66B			
LSPR	Larkspur Health Acquisition	Blank Check / SPAC	81.60M			
LSTA	Lisata Therapeutics	Biotechnology	28.94M			
LSTR	Landstar System	Road & Rail	6.04B			
LTBR	Lightbridge	Professional Services	60.35M			
LTC	LTC Properties	Equity Real Estate Investment Trusts ...	1.64B			
LTCH	Latch	Software-Application	150.61M			
LTH	Life Time Group Holdings	Leisure	2.37B			
LTHM	Livent	Chemicals	6.03B			
LTRN	Lantern Pharma	Biotechnology	50.92M			
LTRPA	Liberty TripAdvisor Holdings	Interactive Media & Services	73.94M			
LTRPB	Liberty TripAdvisor Holdings	Interactive Media & Services	91.17M			
LTRX	Lantronix	Communications Equipment	202.56M			
LTRY	Lottery.com	Gambling	15.30M			
LU	Lufax Holding	Consumer Finance	4.18B			
LUCD	Lucid Diagnostics	Medical Devices	86.01M			
LUCY	Innovative Eyewear	Health Care	9.57M			
LULU	Lululemon Athletica	"Textiles, Apparel & Luxury Goods"	43.99B			
LUMN	Lumen Technologies	Diversified Telecommunication Services	6.56B			
LUMO	Lumos Pharma	Biotechnology	74.81M			
LUNA	Luna Innovations	"Electronic Equipment, Instruments & C..."	201.12M			
LUNG	Pulmonx	Health Care Equipment & Supplies	243.36M			
LUV	Southwest Airlines Company	Airlines	22.78B			
LUXH	LuxUrban Hotels	Lodging	37.71M			
LVAC	LAVA Medtech Acquisition	Blank Check / SPAC	116.04M			
LVLU	Lulu's Fashion Lounge Holdings	Apparel Retail	225.02M			
LVO	LiveOne	Entertainment	64.06M			
LVOX	LiveVox Holding	Software-Infrastructure	212.75M			
LVRA	Levere Holdings	Shell Companies	270.47M			
LVS	Las Vegas Sands	"Hotels, Restaurants & Leisure"	33.10B			
LVTX	LAVA Therapeutics	Biotechnology	127.70M			
LVWR	LiveWire Group	Automobiles	1.33B			
LW	Lamb Weston Holdings	Food Products	11.77B			
LWAY	Lifeway Foods	Food Products	107.08M			
LWLG	Lightwave Logic	Chemicals	953.85M			
LX	LexinFintech Holdings	Consumer Finance	280.27M			
LXEH	Lixiang Education Holding Co.	Education & Training Services	34.67M			
LXFR	Luxfer Holdings	Machinery	415.20M			
LXP	Lexington Realty Trust	Equity Real Estate Investment Trusts ...	2.91B			
LXRX	Lexicon Pharmaceuticals	Biotechnology	447.28M			
LXU	LSB Industries	Chemicals	1.11B			
LYB	LyondellBasell Industries NV	Chemicals	29.00B			
LYEL	Lyell Immunopharma	Biotechnology	1.13B			
LYFT	"Lyft, Inc."	Road & Rail	4.47B			
LYG	Lloyds Banking Group	Banks	34.64B			
LYL	Dragon Victory International	Consumer Finance	14.14M			
LYLT	Loyalty Ventures	Software-Infrastructure	47.01M			
LYRA	Lyra Therapeutics	Biotechnology	117.76M			
LYT	Lytus Technologies Holdings PTV. LTD.	Software-Application	33.07M			
LYTS	LSI Industries	Electrical Equipment	279.16M			
LYV	Live Nation Entertainment	Entertainment	17.71B			
LZ	LegalZoom.com	Specialty Business Services	2.03B			
LZB	La-Z-Boy	Household Durables	1.15B			
M	Macy's	Multiline Retail	5.69B			
MA	Mastercard	IT Services	323.62B			
MAA	Mid-America Apartment Communities	Equity Real Estate Investment Trusts ...	18.51B			
MAC	The Macerich Company	Equity Real Estate Investment Trusts ...	2.73B			
MACA	Moringa Acquisition	Blank Check / SPAC	119.92M			
MACC	Mission Advancement	Shell Companies	345.86M			
MACK	Merrimack Pharmaceuticals	Biotechnology	164.68M			
MAG	MAG Silver	Metals & Mining	1.60B			
MAIA	MAIA Biotechnology	Biotechnology	42.43M			
MAIN	Main Street Capital	Capital Markets	2.94B			
MAN	ManpowerGroup	Professional Services	4.40B			
MANH	Manhattan Associates	Software	7.74B			
MANU	Manchester United	Entertainment	702.44M			
MAPS	WM Technology	Software-Application	128.24M			
MAQC	Maquia Capital Acquisition	Blank Check / SPAC	186.45M			
MAR	Marriott International	"Hotels, Restaurants & Leisure"	51.84B			
MARA	Marathon Digital Holdings	IT Services	1.14B			
MARK	Remark Holdings	Internet & Direct Marketing Retail	31.91M			
MARPS	Marine Petroleum Trust	"Oil, Gas & Consumable Fuels"	19.80M			
MAS	Masco	Building Products	11.52B			
MASI	Masimo	Health Care Equipment & Supplies	6.83B			
MASS	908 Devices	Medical Devices	505.76M			
MAT	Mattel	Leisure Products	6.08B			
MATV	Mativ Holdings	Paper & Forest Products	1.09B			
MATW	Matthews International	Commercial Services & Supplies	839.81M			
MATX	Matson	Marine	2.75B			
MAX	MediaAlpha	Internet Content & Information	554.68M			
MAXN	Maxeon Solar Technologies	Semiconductors & Semiconductor Equipment	939.96M			
MAXR	Maxar Technologies	Aerospace & Defense	1.96B			
MAYS	J.W. Mays	Real Estate Management & Development	93.53M			
MBAC	M3-Brigade Acquisition II	Blank Check / SPAC	397.60M			
MBCN	Middlefield Banc	Banks	169.23M			
MBI	MBIA Inc.	Insurance	660.91M			
MBIN	Merchants Bancorp	Thrifts & Mortgage Finance	1.06B			
MBIO	Mustang Bio	Biotechnology	49.74M			
MBLY	Mobileye Global	Information Technology	1.70B			
MBOT	Microbot Medical	Health Care Equipment & Supplies	28.37M			
MBRX	Moleculin Biotech	Biotechnology	26.91M			
MBSC	M3-Brigade Acquisition III	Blank Check / SPAC	301.50M			
MBTC	Nocturne Acquisition	Blank Check / SPAC	155.67M			
MBUU	Malibu Boats	Leisure Products	1.22B			
MBWM	Mercantile Bank	Banks	556.59M			
MC	Moelis & Company	Capital Markets	2.82B			
MCAA	Mountain & Co. I Acquisition	Blank Check / SPAC	237.13M			
MCAC	Monterey Capital Acquisition	Blank Check / SPAC	92.82M			
MCAE	Mountain Crest Acquisition III	Blank Check / SPAC	70.86M			
MCAF	Mountain Crest Acquisition IV	Blank Check / SPAC	75.20M			
MCAG	Mountain Crest Acquisition V	Blank Check / SPAC	90.17M			
MCB	Metropolitan Bank Holding	Banks	774.18M			
MCBC	Macatawa Bank	Banks	388.01M			
MCBS	MetroCity Bankshares	Banks	590.45M			
MCD	McDonald's	"Hotels, Restaurants & Leisure"	199.67B			
MCFT	MasterCraft Boat Holdings	Leisure Products	467.40M			
MCG	Membership Collective Group	Lodging	291.51M			
MCHP	Microchip Technology	Semiconductors & Semiconductor Equipment	41.71B			
MCHX	Marchex	Media	67.85M			
MCK	McKesson	Health Care Providers & Services	50.51B			
MCLD	mCloud Technologies	Software-Application	15.67M			
MCO	Moody's	Capital Markets	56.86B			
MCRB	Seres Therapeutics	Biotechnology	893.32M			
MCRI	Monarch Casino & Resort	"Hotels, Restaurants & Leisure"	1.51B			
MCS	The Marcus Corporation	Entertainment	384.99M			
MCVT	Mill City Ventures III	Credit Services	12.45M			
MCW	Mister Car Wash	Personal Services	3.23B			
MCY	Mercury General	Insurance	2.07B			
MD	MEDNAX	Health Care Providers & Services	1.35B			
MDB	MongoDB	IT Services	12.09B			
MDC	M.D.C. Holdings	Household Durables	2.34B			
MDGL	Madrigal Pharmaceuticals	Biotechnology	1.25B			
MDGS	Medigus	Health Care Equipment & Supplies	9.43M			
MDH	MDH Acquisition	Blank Check / SPAC	274.62M			
MDIA	Mediaco Holding	Broadcasting	20.67M			
MDJH	MDJM Ltd.	Real Estate Management & Development	19.15M			
MDLZ	Mondelez International	Food Products	88.49B			
MDNA	Medicenna Therapeutics	Biotechnology	42.21M			
MDRR	Medalist Diversified REIT	Equity Real Estate Investment Trusts ...	13.44M			
MDRX	Allscripts Healthcare Solutions	Health Care Technology	1.97B			
MDT	Medtronic plc.	Health Care Equipment & Supplies	111.05B			
MDU	MDU Resources Group	Multi-Utilities	6.15B			
MDV	Modiv	REIT-Diversified	78.07M			
MDVL	MedAvail Holdings	Pharmaceutical Retailers	52.77M			
MDWD	MediWound	Pharmaceuticals	56.83M			
MDWT	Midwest Holding	Insurance-Life	55.32M			
MDXG	MiMedx Group	Biotechnology	369.42M			
MDXH	MDxHealth	Diagnostics & Research	123.63M			
ME	23andMe Holding Co.	Diagnostics & Research	969.17M			
MEAC	Mercury Ecommerce Acquisition	Blank Check / SPAC	180.78M			
MEC	Mayville Engineering Company	Metals & Mining	215.65M			
MED	Medifast	Personal Products	1.25B			
MEDP	Medpace Holdings	Life Sciences Tools & Services	6.88B			
MEDS	TRxADE HEALTH	Pharmaceutical Retailers	7.01M			
MEG	Montrose Environmental Group	Media	1.42B			
MEGL	Magic Empire Global	Capital Markets	51.20M			
MEI	Methode Electronics	"Electronic Equipment, Instruments & C..."	1.68B			
MEIP	MEI Pharma	Biotechnology	45.02M			
MEKA	MELI Kaszek Pioneer	Shell Companies	293.09M			
MELI	MercadoLibre	Internet & Direct Marketing Retail	49.03B			
MEOA	Minority Equality Opportunities Acquisition	Blank Check / SPAC	131.03M			
MEOH	Methanex	Chemicals	2.81B			
MERC	Mercer International	Paper & Forest Products	921.05M			
MESA	Mesa Air Group	Airlines	55.17M			
MESO	Mesoblast	Biotechnology	466.99M			
MET	MetLife	Insurance	58.45B			
META	Meta Platforms	Interactive Media & Services	254.14B			
METC	Ramaco Resources	Metals & Mining	472.62M			
METX	Meten Edtechx Education Group	Education & Training Services	3.16M			
MF	Missfresh	Grocery Stores	12.87M			
MFA	MFA Financial	Mortgage Real Estate Investment Trust...	1.14B			
MFC	Manulife Financial	Insurance	33.48B			
MFG	Mizuho Financial Group	Banks	28.63B			
MFGP	Micro Focus International	Software	2.08B			
MFH	Mercurity Fintech Holding	Software	7.14M			
MFIC	MidCap Financial Investment	Asset Management	803.09M			
MFIN	Medallion Financial	Consumer Finance	157.97M			
MG	MISTRAS Group	Professional Services	127.35M			
MGA	Magna International	Auto Components	17.93B			
MGAM	Mobile Global Esports	"Hotels, Restaurants & Leisure"	18.52M			
MGEE	MGE Energy	Electric Utilities	2.50B			
MGI	MoneyGram International	IT Services	1.02B			
MGIC	Magic Software Enterprises	Software	776.16M			
MGLD	The Marygold Companies	Asset Management	48.84M			
MGM	MGM Resorts International	"Hotels, Restaurants & Leisure"	14.07B			
MGNI	Magnite	Internet & Direct Marketing Retail	1.54B			
MGNX	MacroGenics	Biotechnology	413.73M			
MGPI	MGP Ingredients	Beverages	2.50B			
MGRC	McGrath RentCorp	Commercial Services & Supplies	2.39B			
MGTA	Magenta Therapeutics	Biotechnology	81.75M			
MGTX	MeiraGTx Holdings	Biotechnology	278.62M			
MGY	Magnolia Oil & Gas	"Oil, Gas & Consumable Fuels"	5.41B			
MGYR	Magyar Bancorp	Thrifts & Mortgage Finance	90.28M			
MHH	Mastech Digital	Professional Services	164.93M			
MHK	Mohawk Industries	Household Durables	6.98B			
MHLD	Maiden Holdings	Insurance	200.47M			
MHO	M/I Homes	Household Durables	1.25B			
MHUA	Meihua International Medical Technologies Co.	Medical Instruments & Supplies	226.23M			
MICS	The Singing Machine Company	Consumer Electronics	16.32M			
MICT	"MICT, Inc."	Aerospace & Defense	109.13M			
MIDD	The Middleby Corporation	Machinery	7.62B			
MIGI	Mawson Infrastructure Group	Capital Markets	32.09M			
MIMO	Airspan Networks Holdings	Telecom Services	159.14M			
MIND	MIND Technology	Energy Equipment & Services	7.31M			
MINM	Minim	Communication Equipment	8.23M			
MIR	Mirion Technologies	Specialty Industrial Machinery	1.32B			
MIRM	Mirum Pharmaceuticals	Biotechnology	731.73M			
MIRO	Miromatrix Medical	Biotechnology	90.91M			
MIST	Milestone Pharmaceuticals	Pharmaceuticals	138.65M			
MIT	Mason Industrial Technology	Shell Companies	498.00M			
MITA	Coliseum Acquisition	Blank Check / SPAC	149.10M			
MITK	Mitek Systems	Software	517.40M			
MITO	Stealth BioTherapeutics	Biotechnology	23.82M			
MITQ	Moving iMage Technologies	Photographic and Photocopying Equipme...	12.82M			
MITT	AG Mortgage Investment Trust	Mortgage Real Estate Investment Trust...	124.65M			
MIXT	MiX Telematics	Software	176.67M			
MKC	McCormick & Company	Food Products	20.99B			
MKFG	Markforged Holding	Computer Hardware	354.35M			
MKL	Markel	Insurance	17.31B			
MKSI	MKS Instruments	Semiconductors & Semiconductor Equipment	5.34B			
MKTW	MarketWise	Software-Application	81.97M			
MKTX	MarketAxess Holdings	Capital Markets	10.66B			
ML	MoneyLion	Software-Application	211.68M			
MLAB	Mesa Laboratories	Health Care Equipment & Supplies	963.35M			
MLAC	Malacca Straits Acquisition Company	Blank Check / SPAC	146.63M			
MLAI	McLaren Technology Acquisition	Blank Check / SPAC	204.07M			
MLCO	Melco Resorts & Entertainment	"Hotels, Restaurants & Leisure"	3.28B			
MLI	Mueller Industries	Machinery	3.72B			
MLKN	MillerKnoll	"Furnishings, Fixtures & Appliances"	1.81B			
MLM	Martin Marietta Materials	Construction Materials	22.49B			
MLNK	MeridianLink	Software-Application	1.23B			
MLP	Maui Land & Pineapple Company	Real Estate Management & Development	179.57M			
MLR	Miller Industries	Machinery	316.81M			
MLSS	Milestone Scientific	Health Care Equipment & Supplies	46.87M			
MLTX	MoonLake Immunotherapeutics	Biotechnology	330.85M			
MLVF	Malvern Bancorp	Banks	110.16M			
MMAT	Meta Materials	Electronic Components	473.60M			
MMC	Marsh & McLennan Companies	Insurance	82.64B			
MMI	Marcus & Millichap	Real Estate Management & Development	1.50B			
MMLP	Martin Midstream Partners	"Oil, Gas & Consumable Fuels"	125.88M			
MMM	3M Company	Industrial Conglomerates	73.50B			
MMMB	MamaMancini's Holdings	Food Products	39.59M			
MMP	"Magellan Midstream Partners,"	"Oil, Gas & Consumable Fuels"	10.86B			
MMS	Maximus	IT Services	3.79B			
MMSI	Merit Medical Systems	Health Care Equipment & Supplies	3.97B			
MMX	Maverix Metals	Metals & Mining	577.73M			
MMYT	MakeMyTrip	Internet & Direct Marketing Retail	2.01B			
MNDO	MIND CTI	Software	41.62M			
MNDY	monday.com	Software-Application	4.16B			
MNKD	MannKind	Biotechnology	1.15B			
MNMD	Mind Medicine (MindMed)	Biotechnology	102.69M			
MNOV	MediciNova	Biotechnology	107.90M			
MNPR	Monopar Therapeutics	Biotechnology	36.01M			
MNRL	Brigham Minerals	"Oil, Gas & Consumable Fuels"	1.95B			
MNRO	Monro	Specialty Retail	1.47B			
MNSB	MainStreet Bancshares	Banks	212.30M			
MNSO	Miniso Group Holding	Specialty Retail	2.24B			
MNST	Monster Beverage	Beverages	51.19B			
MNTK	Montauk Renewables	Utilities-Diversified	1.76B			
MNTN	Everest Consolidator Acquisition	Blank Check / SPAC	174.57M			
MNTS	Momentus	Aerospace & Defense	118.42M			
MNTV	Momentive Global	Software	1.28B			
MNTX	Manitex International	Machinery	101.62M			
MO	Altria Group	Tobacco	79.54B			
MOB	Mobilicom	Information Technology	1.63M			
MOBQ	Mobiquity Technologies	Media	10.04M			
MOBV	Mobiv Acquisition	Blank Check / SPAC	115.68M			
MOD	Modine Manufacturing Company	Auto Components	1.09B			
MODD	Modular Medical	Medical Devices	35.58M			
MODG	Topgolf Callaway Brands	Leisure Products	3.96B			
MODN	Model N	Software	1.44B			
MODV	ModivCare	Health Care Providers & Services	1.28B			
MOFG	MidWestOne Financial Group	Banks	540.26M			
MOG.A	Moog Inc.	Aerospace & Defense	2.52B			
MOG.B	Moog Inc.	Aerospace & Defense	257.15M			
MOGO	Mogo Inc.	Consumer Finance	51.97M			
MOGU	"Mogu, Inc."	Internet & Direct Marketing Retail	20.62M			
MOH	Molina Healthcare	Health Care Providers & Services	18.54B			
MOLN	Molecular Partners AG	Biotechnology	215.57M			
MOMO	Hello Group	Interactive Media & Services	1.11B			
MON	Monument Circle Acquisition	Blank Check / SPAC	250.00M			
MOND	Mondee Holdings	Travel Services	805.33M			
MOR	MorphoSys AG	Biotechnology	747.28M			
MORF	Morphic Holding	Biotechnology	1.17B			
MORN	Morningstar	Capital Markets	10.43B			
MOS	The Mosaic Company	Chemicals	17.97B			
MOTS	Motus GI Holdings	Health Care Equipment & Supplies	5.57M			
MOV	Movado Group	"Textiles, Apparel & Luxury Goods"	799.44M			
MOVE	Movano	Internet Software & Services	65.97M			
MOXC	Moxian	Internet & Direct Marketing Retail	31.64M			
MP	MP Materials	Metals & Mining	6.28B			
MPAA	Motorcar Parts of America	Auto Components	313.98M			
MPAC	Model Performance Acquisition	Blank Check / SPAC	63.56M			
MPB	Mid Penn Bancorp	Banks	532.55M			
MPC	Marathon Petroleum	"Oil, Gas & Consumable Fuels"	56.82B			
MPLN	MultiPlan	Health Information Services	1.26B			
MPLX	MPLX LP	"Oil, Gas & Consumable Fuels"	34.04B			
MPRA	Mercato Partners Acquisition	Blank Check / SPAC	231.61M			
MPTI	M-tron Industries	Electronic Components	27.22M			
MPW	Medical Properties Trust	Equity Real Estate Investment Trusts ...	7.52B			
MPWR	Monolithic Power Systems	Semiconductors & Semiconductor Equipment	18.47B			
MPX	Marine Products	Leisure Products	393.50M			
MQ	Marqeta	Software-Infrastructure	3.36B			
MRAI	Marpai	Healthcare Plans	18.42M			
MRAM	Everspin Technologies	Semiconductors & Semiconductor Equipment	128.64M			
MRBK	Meridian	Banks	186.72M			
MRC	MRC Global	Trading Companies & Distributors	966.44M			
MRCC	Monroe Capital	Capital Markets	182.00M			
MRCY	Mercury Systems	Aerospace & Defense	2.94B			
MREO	Mereo BioPharma Group	Biotechnology	101.36M			
MRIN	Marin Software	Software	19.66M			
MRK	Merck & Co.	Pharmaceuticals	248.37B			
MRKR	Marker Therapeutics	Biotechnology	31.85M			
MRM	Medirom Healthcare Technologies	Personal Services	26.41M			
MRNA	Moderna	Biotechnology	66.97B			
MRNS	Marinus Pharmaceuticals	Pharmaceuticals	178.92M			
MRO	Marathon Oil	"Oil, Gas & Consumable Fuels"	20.88B			
MRSN	Mersana Therapeutics	Biotechnology	692.43M			
MRTN	Marten Transport	Road & Rail	1.60B			
MRTX	Mirati Therapeutics	Biotechnology	4.07B			
MRUS	Merus	Biotechnology	858.92M			
MRVI	Maravai LifeSciences Holdings	Biotechnology	2.07B			
MRVL	Marvell Technology	Semiconductors & Semiconductor Equipment	36.96B			
MS	Morgan Stanley	Capital Markets	153.43B			
MSA	MSA Safety	Commercial Services & Supplies	5.44B			
MSAC	Medicus Sciences Acquisition	Blank Check / SPAC	92.83M			
MSB	Mesabi Trust	Metals & Mining	270.27M			
MSBI	Midland States Bancorp	Banks	602.91M			
MSC	Studio City International Holdings	"Hotels, Restaurants & Leisure"	457.25M			
MSCI	MSCI Inc.	Capital Markets	40.97B			
MSDA	MSD Acquisition	Blank Check / SPAC	573.85M			
MSEX	Middlesex Water Company	Water Utilities	1.57B			
MSFT	Microsoft	Software	"1,842.07B"			
MSGE	Madison Square Garden Entertainment	Entertainment	1.23B			
MSGM	Motorsport Games	Electronic Gaming & Multimedia	9.69M			
MSGS	Madison Square Garden Sports	Entertainment	2.97B			
MSI	Motorola Solutions	Communications Equipment	41.72B			
MSM	MSC Industrial Direct Company	Trading Companies & Distributors	4.02B			
MSN	Emerson Radio	Household Durables	11.58M			
MSPR	MSP Recovery	Health Care Providers & Services	70.77M			
MSSA	Metal Sky Star Acquisition	Blank Check / SPAC	148.23M			
MSTR	MicroStrategy	Software	1.64B			
MSVB	Mid-Southern Bancorp	Thrifts & Mortgage Finance	36.19M			
MT	ArcelorMittal	Metals & Mining	23.20B			
MTA	Metalla Royalty & Streaming	Metals & Mining	233.78M			
MTAC	MedTech Acquisition	Blank Check / SPAC	250.50M			
MTAL	Metals Acquisition	Blank Check / SPAC	262.50M			
MTB	M&T Bank	Banks	28.69B			
MTBC	CareCloud	Health Care Technology	49.01M			
MTC	MMTec	Software	3.81M			
MTCH	Match Group	Interactive Media & Services	14.37B			
MTCR	Metacrine	Biotechnology	17.74M			
MTD	Mettler-Toledo International	Life Sciences Tools & Services	32.65B			
MTDR	Matador Resources Company	"Oil, Gas & Consumable Fuels"	8.30B			
MTEK	Maris-Tech	Electronic Components	9.44M			
MTEM	Molecular Templates	Biotechnology	33.82M			
MTEX	"Mannatech,"	Personal Products	39.46M			
MTG	MGIC Investment	Thrifts & Mortgage Finance	4.08B			
MTH	Meritage Homes	Household Durables	3.06B			
MTL	Mechel PAO	Metals & Mining	549.83M			
MTLS	Materialise NV	Software	605.99M			
MTMT	Mega Matrix	Rental & Leasing Services	52.17M			
MTN	Vail Resorts	"Hotels, Restaurants & Leisure"	9.70B			
MTNB	Matinas BioPharma Holdings	Biotechnology	157.60M			
MTP	Midatech Pharma	Biotechnology	6.03M			
MTR	Mesa Royalty Trust	"Oil, Gas & Consumable Fuels"	27.38M			
MTRN	Materion	Metals & Mining	1.61B			
MTRX	Matrix Service Company	Energy Equipment & Services	145.11M			
MTRY	Monterey Bio Acquisition	Blank Check / SPAC	146.63M			
MTSI	MACOM Technology Solutions Holdings	Semiconductors & Semiconductor Equipment	4.97B			
MTTR	Matterport	Software-Application	1.07B			
MTVC	Motive Capital Corp II	Shell Companies	344.45M			
MTW	The Manitowoc Company	Machinery	363.11M			
MTX	Minerals Technologies	Chemicals	1.88B			
MTZ	MasTec	Construction & Engineering	7.49B			
MU	Micron Technology	Semiconductors & Semiconductor Equipment	67.97B			
MUFG	Mitsubishi UFJ Financial Group	Banks	61.73B			
MULN	Mullen Automotive	Automobiles	176.97M			
MUR	Murphy Oil	"Oil, Gas & Consumable Fuels"	7.89B			
MURF	Murphy Canyon Acquisition	Blank Check / SPAC	141.61M			
MUSA	Murphy USA	Specialty Retail	6.56B			
MUX	McEwen Mining	Metals & Mining	245.20M			
MVBF	MVB Financial	Banks	311.59M			
MVIS	MicroVision	"Electronic Equipment, Instruments & C..."	582.78M			
MVST	Microvast Holdings	Electrical Equipment & Parts	744.25M			
MWA	Mueller Water Products	Machinery	1.74B			
MX	MagnaChip Semiconductor	Semiconductors & Semiconductor Equipment	438.66M			
MXC	Mexco Energy	"Oil, Gas & Consumable Fuels"	30.63M			
MXCT	MaxCyte	Medical Devices	724.27M			
MXL	MaxLinear	Semiconductors & Semiconductor Equipment	2.86B			
MYE	Myers Industries	Containers & Packaging	781.04M			
MYFW	First Western Financial	Banks	277.74M			
MYGN	Myriad Genetics	Biotechnology	1.70B			
MYMD	MyMD Pharmaceuticals	Biotechnology	86.04M			
MYNA	Mynaric AG	Communication Equipment	107.75M			
MYNZ	Mainz Biomed B.V.	Diagnostics & Research	106.88M			
MYO	Myomo	Health Care Equipment & Supplies	6.42M			
MYOV	Myovant Sciences	Biotechnology	2.59B			
MYPS	PLAYSTUDIOS	Electronic Gaming & Multimedia	458.55M			
MYRG	MYR Group	Construction & Engineering	1.59B			
MYSZ	My Size	Software	6.46M			
MYTE	MYT Netherlands Parent B.V.	Luxury Goods	989.95M			
NA	Nano Labs	Semiconductors	71.92M			
NAAC	North Atlantic Acquisition	Blank Check / SPAC	380.64M			
NAAS	NaaS Technology	Specialty Retail	1.12B			
NABL	N-able	Information Technology Services	2.10B			
NAII	Natural Alternatives International	Personal Products	48.45M			
NAK	Northern Dynasty Minerals	Metals & Mining	149.03M			
NAOV	NanoVibronix	Health Care Equipment & Supplies	9.69M			
NAPA	The Duckhorn Portfolio	Beverages-Wineries & Distilleries	1.67B			
NARI	Inari Medical	Health Care Equipment & Supplies	4.20B			
NAT	Nordic American Tankers	"Oil, Gas & Consumable Fuels"	684.85M			
NATH	Nathan's Famous	"Hotels, Restaurants & Leisure"	265.26M			
NATI	National Instruments	"Electronic Equipment, Instruments & C..."	5.28B			
NATR	Nature's Sunshine Products	Personal Products	156.59M			
NAUT	Nautilus Biotechnology	Biotechnology	259.43M			
NAVB	Navidea Biopharmaceuticals	Biotechnology	8.20M			
NAVI	Navient	Consumer Finance	2.17B			
NBHC	National Bank Holdings	Banks	1.85B			
NBIX	Neurocrine Biosciences	Biotechnology	11.67B			
NBN	Northeast Bank	Banks	329.92M			
NBR	Nabors Industries	Energy Equipment & Services	1.67B			
NBRV	Nabriva Therapeutics	Pharmaceuticals	6.15M			
NBSE	NeuBase Therapeutics	Biotechnology	6.97M			
NBST	Newbury Street Acquisition	Blank Check / SPAC	165.45M			
NBTB	NBT Bancorp	Banks	2.00B			
NBTX	Nanobiotix	Biotechnology	136.89M			
NBY	NovaBay Pharmaceuticals	Pharmaceuticals	5.75M			
NC	NACCO Industries	"Oil, Gas & Consumable Fuels"	271.99M			
NCAC	Newcourt Acquisition	Blank Check / SPAC	267.41M			
NCLH	Norwegian Cruise Line Holdings	"Hotels, Restaurants & Leisure"	7.53B			
NCMI	National CineMedia	Media	47.18M			
NCNA	NuCana	Biotechnology	52.20M			
NCNO	nCino	Software	3.25B			
NCPL	Netcapital	Capital Markets	7.18M			
NCR	NCR Corporation	"Technology Hardware, Storage & Periph..."	3.17B			
NCRA	Nocera	Packaged Foods	13.44M			
NCSM	NCS Multistage Holdings	Energy Equipment & Services	69.70M			
NCTY	The9 Limited	Entertainment	17.21M			
NDAC	Nightdragon Acquisition	Blank Check / SPAC	355.71M			
NDAQ	Nasdaq	Capital Markets	32.62B			
NDLS	Noodles & Company	"Hotels, Restaurants & Leisure"	289.95M			
NDRA	ENDRA Life Sciences	Health Care Equipment & Supplies	13.84M			
NDSN	Nordson	Machinery	13.53B			
NE	Noble	Oil & Gas Drilling	5.38B			
NECB	NorthEast Community Bancorp	Thrifts & Mortgage Finance	227.17M			
NEE	NextEra Energy	Electric Utilities	165.55B			
NEGG	Newegg Commerce	Internet & Direct Marketing Retail	755.64M			
NEM	Newmont	Metals & Mining	36.93B			
NEN	New England Realty Associates LP	Real Estate Management & Development	275.58M			
NEO	NeoGenomics	Life Sciences Tools & Services	1.42B			
NEOG	Neogen	Health Care Equipment & Supplies	3.52B			
NEON	Neonode	"Electronic Equipment, Instruments & C..."	52.28M			
NEOV	NeoVolta	Electrical Equipment & Parts	134.36M			
NEP	NextEra Energy Partners LP	Independent Power and Renewable Elect...	6.75B			
NEPH	Nephros	Household Durables	10.92M			
NEPT	Neptune Wellness Solutions	Personal Products	12.04M			
NERV	Minerva Neurosciences	Biotechnology	17.84M			
NESR	National Energy Services Reunited	Energy Equipment & Services	653.23M			
NET	Cloudflare	Software	15.29B			
NETC	Nabors Energy Transition	Shell Companies	279.31M			
NETI	Eneti	Marine	370.62M			
NEU	NewMarket	Chemicals	3.01B			
NEWP	New Pacific Metals	"Electronic Equipment, Instruments & C..."	358.90M			
NEWR	New Relic	Software	3.98B			
NEWT	Newtek Business Services	Capital Markets	393.10M			
NEX	NexTier Oilfield Solutions	Energy Equipment & Services	2.58B			
NEXA	Nexa Resources	Metals & Mining	700.60M			
NEXI	NexImmune	Biotechnology	11.84M			
NEXT	NextDecade	"Oil, Gas & Consumable Fuels"	954.02M			
NFBK	Northfield Bancorp	Thrifts & Mortgage Finance	740.35M			
NFE	New Fortress Energy	"Oil, Gas & Consumable Fuels"	10.57B			
NFG	National Fuel Gas Company	Gas Utilities	5.97B			
NFGC	New Found Gold	Gold	636.46M			
